,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
2957,2,39,1,8014,0,3,110.0,1,37,37,9,9,160.5,0,0,0,1,0,0,38,0,8,11,11,11,12.63636364,0,5,8,8,8,11.0,0,13.9,-0.3,0.79,Graduate
978,1,39,1,9991,0,19,133.1,1,19,37,7,5,155.5,1,0,1,0,1,0,39,0,0,5,6,5,10.6,0,0,5,7,5,14.66666667,0,10.8,1.4,1.74,Dropout
1299,1,18,1,9254,1,1,118.0,1,38,38,5,5,123.3,1,0,0,1,1,0,26,0,0,6,10,4,10.0,0,0,6,11,3,12.0,0,9.4,-0.8,-3.12,Enrolled
120,1,17,1,9254,1,1,133.1,1,1,1,4,5,131.0,1,0,0,1,0,0,21,0,0,6,12,3,11.0,0,0,6,12,2,11.0,0,9.4,-0.8,-3.12,Dropout
1509,1,43,1,9500,1,1,140.0,100,1,1,6,6,128.2,0,0,0,1,0,0,39,1,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,Dropout
626,1,44,1,8014,0,39,130.0,1,37,38,6,6,130.0,1,0,0,1,0,0,23,0,5,9,10,9,10.88888889,0,3,8,10,6,11.33333333,0,11.1,0.6,2.02,Graduate
3817,1,17,1,9003,1,1,120.0,1,38,37,5,9,131.4,1,0,0,1,1,1,23,0,17,18,19,18,11.89473684,0,12,13,13,13,12.92307692,0,15.5,2.8,-4.06,Graduate
1074,1,1,1,9238,1,1,132.0,1,37,37,9,5,135.9,0,0,0,1,0,0,18,0,0,6,11,5,12.4,0,0,6,7,6,13.0,0,9.4,-0.8,-3.12,Graduate
290,1,17,4,9085,1,1,123.0,1,19,19,4,10,124.4,1,0,0,1,0,0,19,0,0,6,14,6,15.66666667,0,0,6,9,6,14.5,0,15.5,2.8,-4.06,Graduate
544,1,17,2,9119,1,1,127.0,1,19,1,9,10,121.1,1,0,0,1,1,1,18,0,0,5,6,5,13.2,0,0,5,8,5,12.6,0,8.9,1.4,3.51,Enrolled
468,1,1,5,9500,1,1,144.0,1,19,38,4,8,141.3,1,0,0,1,0,1,18,0,0,8,9,8,13.31,1,0,8,9,8,13.31,1,9.4,-0.8,-3.12,Graduate
1210,1,43,1,9556,1,1,140.0,1,37,37,9,9,128.0,1,0,0,0,0,0,32,0,0,7,7,0,0.0,7,0,8,8,0,0.0,7,10.8,1.4,1.74,Dropout
1467,2,17,5,9119,1,1,126.0,1,37,38,4,4,122.9,1,0,0,1,1,0,21,0,0,5,10,4,13.2,0,0,5,7,4,14.25,2,7.6,2.6,0.32,Enrolled
4087,1,39,1,9500,1,1,130.0,1,38,37,5,7,120.0,1,0,0,1,0,1,25,0,0,8,11,7,13.29,3,0,8,11,7,13.29,3,9.4,-0.8,-3.12,Enrolled
596,1,17,1,9853,1,1,133.1,1,38,12,7,0,111.5,0,0,0,0,0,1,20,0,0,6,10,4,12.0,0,0,6,14,3,10.0,0,7.6,2.6,0.32,Dropout
4393,1,39,1,9991,0,1,120.0,1,38,38,5,7,146.2,0,0,0,1,0,0,27,0,0,5,10,3,12.33333333,0,0,5,10,3,10.66666667,0,11.1,0.6,2.02,Graduate
1586,1,1,1,9147,1,1,132.0,1,38,37,7,7,131.3,1,0,0,1,0,0,18,0,0,5,8,4,12.0,0,0,5,8,4,12.25,0,9.4,-0.8,-3.12,Enrolled
3540,1,17,1,9119,1,1,130.0,1,1,3,4,2,123.0,0,0,0,1,1,0,18,0,0,5,10,1,10.0,0,0,5,7,0,0.0,0,9.4,-0.8,-3.12,Dropout
3724,1,1,2,9670,1,1,122.0,1,1,1,9,9,116.1,1,0,0,1,1,1,18,0,0,5,6,4,12.25,0,0,5,5,5,12.2,0,9.4,-0.8,-3.12,Dropout
144,1,1,3,9500,1,1,141.0,1,19,19,9,7,131.7,1,0,0,1,0,1,19,0,0,7,10,7,13.605,0,0,8,11,8,12.33125,0,15.5,2.8,-4.06,Graduate
602,1,7,1,9500,1,40,170.0,1,1,1,9,4,170.0,0,0,0,1,0,0,24,0,4,7,7,7,16.88571429,0,3,8,9,8,15.74444444,0,16.2,0.3,-0.92,Graduate
3417,1,1,1,9254,1,1,133.1,1,38,19,3,3,98.6,0,0,0,1,0,0,21,0,0,6,16,2,11.0,0,0,6,12,0,0.0,0,12.7,3.7,-1.7,Dropout
2276,2,39,1,8014,0,19,133.1,1,37,37,6,6,139.0,0,0,0,1,1,0,49,0,0,6,8,6,12.16666667,0,0,6,8,6,14.42857143,0,12.4,0.5,1.79,Graduate
1161,4,7,1,9500,1,40,130.0,1,37,37,3,3,130.0,1,0,0,1,0,0,32,0,0,7,16,4,13.625,0,0,7,8,7,12.6375,0,12.4,0.5,1.79,Enrolled
1289,1,1,1,9500,1,1,110.0,1,19,19,9,7,105.8,1,0,0,1,1,0,22,0,0,7,8,6,14.33333333,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate
415,1,1,1,9085,1,1,131.0,1,37,37,90,90,137.0,0,0,0,1,0,0,18,0,0,5,5,5,14.0,0,0,5,6,5,15.4,0,7.6,2.6,0.32,Graduate
1119,1,17,1,9500,1,1,127.0,1,19,38,5,9,129.5,1,0,0,1,0,1,20,0,0,7,7,6,12.33333333,0,0,7,7,6,12.33333333,0,7.6,2.6,0.32,Graduate
486,1,43,2,9670,1,1,125.0,1,38,19,4,3,106.6,1,0,0,1,0,0,20,0,4,6,7,6,11.5,0,0,6,10,4,10.57142857,0,10.8,1.4,1.74,Dropout
2825,1,17,1,9130,1,1,117.0,1,19,19,4,4,113.5,1,0,0,1,0,0,19,0,0,6,8,6,11.33333333,0,0,6,12,4,13.75,0,8.9,1.4,3.51,Dropout
3487,1,1,1,9670,1,1,130.0,1,1,1,0,0,119.5,0,0,0,0,1,0,19,0,0,5,5,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
1657,1,1,2,9085,1,1,130.0,1,37,19,9,8,129.0,0,0,0,1,0,0,20,0,0,5,7,4,11.75,0,0,5,9,2,10.5,0,7.6,2.6,0.32,Enrolled
594,1,17,1,9003,1,1,119.0,1,37,37,4,6,113.2,0,0,1,1,0,0,20,0,0,6,8,6,13.33333333,0,0,6,8,5,14.0,0,11.1,0.6,2.02,Enrolled
1769,1,51,1,9147,1,1,116.0,1,3,3,2,2,115.2,0,0,1,1,1,0,32,0,2,7,16,3,12.0,0,3,8,10,3,10.33333333,0,8.9,1.4,3.51,Enrolled
1780,1,1,1,9670,1,1,133.1,1,1,37,9,10,139.0,0,0,0,1,1,0,21,0,0,6,6,5,12.8,0,0,6,9,5,12.25,0,10.8,1.4,1.74,Enrolled
4137,2,39,1,9254,1,1,130.0,1,37,37,9,9,125.0,0,0,0,1,0,0,41,0,0,6,8,6,12.28571429,0,0,6,10,5,13.0,0,8.9,1.4,3.51,Graduate
744,1,39,1,9773,1,12,120.0,1,1,1,9,9,129.8,1,0,0,1,1,0,52,0,0,6,7,5,13.0,0,0,6,6,6,15.0,0,9.4,-0.8,-3.12,Graduate
2985,1,17,1,9070,1,1,135.0,1,37,19,9,9,125.2,1,0,0,1,0,0,19,0,0,6,6,6,14.33333333,0,0,6,6,6,13.5,0,12.7,3.7,-1.7,Graduate
4327,2,39,1,9147,1,12,133.1,1,37,37,9,9,120.0,0,0,0,1,0,0,25,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
888,1,1,1,9500,1,1,136.0,1,19,19,4,7,136.0,0,0,0,1,0,1,19,0,0,7,7,7,14.01428571,0,0,8,8,8,15.35,0,13.9,-0.3,0.79,Graduate
530,1,17,1,9147,1,1,126.0,1,37,37,4,7,116.9,0,0,0,1,1,1,19,0,0,5,12,3,11.66666667,0,0,5,10,3,11.66666667,0,12.7,3.7,-1.7,Enrolled
1356,1,39,1,9773,1,1,140.0,1,34,37,0,0,102.5,0,0,0,1,0,0,26,0,0,6,8,4,11.75,0,0,6,12,0,0.0,0,7.6,2.6,0.32,Dropout
1010,1,1,2,9500,1,1,135.0,1,19,19,9,10,122.9,1,0,0,1,0,0,18,0,0,7,10,7,13.128,0,0,8,13,6,13.19333333,0,15.5,2.8,-4.06,Graduate
387,1,39,1,9991,0,3,130.0,1,37,37,9,9,146.2,0,0,0,1,0,0,28,0,10,14,16,11,11.27272727,0,6,11,16,10,12.0,0,10.8,1.4,1.74,Graduate
2451,1,39,1,9003,1,1,100.0,1,1,3,9,10,120.0,0,0,1,0,1,0,44,0,2,7,14,4,12.0,2,0,6,16,0,0.0,1,15.5,2.8,-4.06,Dropout
1515,1,1,1,171,1,1,146.0,1,19,37,9,7,153.0,1,0,0,1,0,1,21,0,15,17,18,17,13.38888889,0,15,17,18,17,14.88888889,0,11.1,0.6,2.02,Graduate
1034,1,17,1,9070,1,1,136.0,1,38,19,7,7,121.7,1,0,0,1,0,0,18,0,0,6,6,2,13.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
2876,1,39,1,9556,1,1,133.1,6,3,3,4,4,169.2,0,0,1,0,0,0,54,1,0,7,7,0,0.0,0,0,5,10,0,0.0,0,12.4,0.5,1.79,Dropout
3898,2,39,1,9254,1,1,130.0,1,37,37,4,7,120.0,1,0,0,1,0,0,34,0,0,6,7,5,12.4,0,0,6,8,5,12.8,0,9.4,-0.8,-3.12,Graduate
1697,1,39,1,9085,1,1,130.0,1,34,1,0,2,128.2,0,0,0,1,1,0,25,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
3186,1,39,1,9130,1,10,133.1,1,12,36,90,90,128.2,0,0,0,0,1,1,30,0,0,5,13,0,0.0,3,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Dropout
2016,1,39,1,9254,1,1,160.0,1,3,1,6,6,116.3,1,0,0,1,0,0,24,0,0,6,8,5,12.6,0,0,6,7,5,12.2,0,9.4,-0.8,-3.12,Graduate
1832,1,17,2,9147,1,1,134.0,1,37,19,9,8,126.3,1,0,0,1,0,1,18,0,0,5,8,5,11.8,0,0,5,10,5,11.6,3,16.2,0.3,-0.92,Graduate
3355,2,39,2,9003,1,19,133.1,1,38,19,4,1,110.0,0,0,0,0,1,0,32,0,2,8,12,2,11.5,2,0,7,9,0,0.0,0,15.5,2.8,-4.06,Dropout
3034,1,1,1,9085,1,1,139.0,1,3,4,2,2,130.6,0,0,0,1,0,0,18,0,0,5,12,5,12.8,2,0,5,10,5,11.85714286,1,9.4,-0.8,-3.12,Graduate
969,1,39,1,9119,1,1,150.0,1,1,38,3,5,120.0,0,0,0,1,1,0,24,0,0,5,6,3,10.66666667,0,0,5,9,2,10.5,0,15.5,2.8,-4.06,Enrolled
2387,1,1,1,171,1,1,135.0,1,1,38,5,7,137.5,1,0,1,0,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Graduate
3477,1,43,1,9991,0,1,141.0,1,37,37,9,9,131.9,0,0,0,1,0,0,21,0,6,10,20,6,11.5,0,5,10,17,5,12.4,0,9.4,-0.8,-3.12,Dropout
1398,2,39,1,9556,1,19,133.1,1,37,38,9,9,123.0,0,0,0,1,0,0,31,0,0,7,13,6,11.83333333,0,0,7,8,7,12.22857143,0,12.4,0.5,1.79,Graduate
2922,2,39,1,9238,1,19,133.1,1,37,37,4,4,98.5,0,0,0,1,0,0,48,0,0,6,14,6,11.33333333,0,0,6,11,5,12.4,0,15.5,2.8,-4.06,Dropout
1162,1,17,3,9500,1,1,139.0,1,38,1,9,5,131.8,1,0,0,1,0,0,18,0,0,8,8,7,14.65285714,0,0,8,8,7,14.65285714,0,10.8,1.4,1.74,Graduate
4270,1,17,1,9070,1,1,132.0,1,37,38,9,7,138.0,0,0,0,1,1,1,18,0,0,6,6,6,13.66666667,0,0,6,6,6,12.0,0,12.4,0.5,1.79,Graduate
3357,1,43,1,9003,1,1,120.0,1,3,3,1,2,115.0,0,0,0,1,1,0,22,0,0,6,12,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
1260,1,1,3,9238,1,1,137.0,1,1,1,3,3,131.4,1,0,0,1,0,0,20,0,0,6,9,5,11.8,0,0,6,7,6,11.5,0,7.6,2.6,0.32,Graduate
1222,2,39,1,9991,0,19,133.1,1,19,39,5,3,121.7,0,0,1,0,0,0,31,0,0,5,7,0,0.0,0,0,5,7,0,0.0,0,16.2,0.3,-0.92,Dropout
802,1,17,4,9147,1,1,125.0,1,19,19,5,5,118.0,1,0,0,1,0,0,19,0,0,5,7,5,13.6,0,0,5,6,5,12.2,0,8.9,1.4,3.51,Graduate
2194,1,1,1,171,1,1,136.0,1,37,19,5,8,129.0,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate
149,1,1,1,9500,1,1,136.0,1,1,19,9,9,131.5,0,0,0,1,0,1,20,0,0,7,8,6,13.86333333,0,0,8,9,7,14.17857143,0,11.1,0.6,2.02,Graduate
33,1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
3682,1,39,1,9991,0,1,110.0,1,37,37,9,9,121.8,0,0,0,0,1,0,36,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
157,1,17,2,9238,1,1,133.0,1,1,37,7,9,127.4,1,0,0,1,0,1,18,0,0,6,8,6,12.25,0,0,6,7,6,11.85714286,0,12.7,3.7,-1.7,Graduate
1600,1,1,4,171,1,1,131.0,1,1,1,0,3,149.9,1,0,0,1,1,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
2495,1,39,1,9773,1,19,100.0,1,37,37,0,0,128.0,1,0,0,1,1,0,28,0,0,6,7,6,13.16666667,0,0,6,6,6,13.66666667,0,7.6,2.6,0.32,Graduate
625,1,1,1,9853,1,1,133.1,1,19,19,9,8,132.0,1,0,0,1,0,0,21,0,0,6,8,5,12.0,0,0,6,9,5,10.8,0,12.7,3.7,-1.7,Dropout
3822,1,17,6,9773,1,1,141.0,1,37,37,5,5,127.7,1,0,0,1,1,0,18,0,0,6,6,6,15.16666667,0,0,6,6,6,14.83333333,0,9.4,-0.8,-3.12,Graduate
3413,1,1,4,9500,1,1,137.0,1,1,19,4,7,126.7,1,0,0,1,0,0,18,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,15.5,2.8,-4.06,Dropout
298,1,17,4,9556,1,1,112.0,1,1,1,4,10,107.1,1,0,0,1,0,0,20,0,0,7,7,7,12.5,0,0,8,8,8,13.1375,0,12.4,0.5,1.79,Graduate
1258,1,1,4,9500,1,1,132.0,1,1,37,4,7,121.8,1,0,0,1,0,1,19,0,0,8,8,7,13.6,0,0,8,8,7,13.6,0,12.7,3.7,-1.7,Graduate
783,1,1,3,9500,1,1,154.0,1,3,3,1,3,129.0,1,0,0,1,0,0,18,0,0,8,9,6,13.345,2,0,8,9,6,13.345,2,9.4,-0.8,-3.12,Enrolled
19,1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
252,1,1,1,9085,1,1,122.0,1,9,19,90,6,103.4,0,0,0,1,0,0,19,0,0,5,6,5,14.4,0,0,5,6,5,13.0,0,7.6,2.6,0.32,Graduate
1718,1,39,1,9119,1,1,160.0,1,38,37,7,7,129.0,0,0,0,1,1,0,24,0,0,5,9,0,0.0,0,0,5,8,2,14.5,2,7.6,2.6,0.32,Dropout
1746,1,43,1,9130,1,1,156.0,1,19,1,9,4,156.0,0,0,1,0,1,0,24,0,0,6,11,5,11.83333333,0,0,6,11,4,11.5,0,15.5,2.8,-4.06,Dropout
3463,1,1,1,9853,1,1,160.0,1,1,37,9,9,146.0,1,0,0,1,0,0,19,0,0,6,11,3,10.33333333,0,0,6,10,5,11.8,0,9.4,-0.8,-3.12,Enrolled
903,1,1,2,9500,1,1,145.0,1,37,1,9,4,138.8,1,0,0,1,0,1,18,0,0,7,7,6,12.95,0,0,7,7,6,12.95,0,7.6,2.6,0.32,Graduate
897,1,43,1,9070,1,39,130.0,1,19,37,5,9,124.0,1,0,0,1,0,1,21,0,4,12,12,12,13.33333333,0,5,12,12,11,12.54545455,0,15.5,2.8,-4.06,Graduate
755,1,1,4,171,1,1,132.0,1,1,19,4,5,138.0,1,0,1,0,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
2093,1,1,1,9500,1,1,151.0,1,37,37,9,9,138.0,1,0,0,1,0,0,18,0,0,7,7,6,15.2,0,0,7,7,6,15.2,0,7.6,2.6,0.32,Graduate
438,1,1,5,9670,1,1,133.1,1,9,1,2,4,133.0,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
912,2,39,1,9991,0,1,140.0,1,37,37,9,9,120.0,0,0,0,0,0,0,38,0,0,5,6,5,10.6,0,0,5,9,2,11.0,0,12.7,3.7,-1.7,Dropout
1157,1,16,4,9254,1,1,126.0,1,38,37,9,7,118.7,1,0,0,1,0,1,21,0,0,6,7,6,13.57142857,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
2423,1,39,1,9003,1,1,133.1,1,1,37,9,8,130.0,0,0,0,1,1,0,29,0,0,3,4,0,0.0,0,0,4,8,0,0.0,0,16.2,0.3,-0.92,Dropout
2498,1,39,1,171,1,19,133.1,101,1,19,2,7,110.0,0,0,0,1,1,1,25,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
3028,1,39,1,8014,0,1,130.0,1,37,37,9,6,134.0,0,0,0,1,0,1,35,0,2,8,8,8,13.625,0,1,7,7,7,14.0,0,8.9,1.4,3.51,Graduate
2476,1,43,2,9500,1,1,130.0,1,38,37,4,4,126.8,1,0,0,1,1,1,28,0,18,23,23,20,13.5,3,18,23,23,20,13.5,3,7.6,2.6,0.32,Graduate
683,4,39,1,9238,1,19,133.1,1,37,37,9,10,103.5,0,0,0,0,0,0,44,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
1427,1,1,1,9254,1,1,143.0,1,2,37,1,1,133.2,1,0,0,1,0,0,19,0,0,6,9,5,13.4,0,0,6,16,2,13.5,0,10.8,1.4,1.74,Enrolled
70,1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,0,0,0,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
3404,2,43,1,9991,0,1,134.0,1,37,37,9,9,113.7,0,0,0,1,0,0,32,0,1,5,5,5,10.2,0,0,5,9,4,11.25,0,9.4,-0.8,-3.12,Enrolled
3312,1,51,1,9070,1,12,133.1,1,37,19,3,7,106.6,0,0,1,1,0,0,31,0,2,6,8,5,11.0,0,4,6,12,6,10.16666667,0,8.9,1.4,3.51,Enrolled
2757,1,44,1,9085,1,39,110.0,1,3,5,2,2,110.0,0,0,0,1,1,0,23,0,0,6,19,0,0.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout
2552,1,1,1,8014,0,1,126.0,1,38,37,5,5,118.7,0,0,0,1,0,0,19,0,0,6,6,6,12.5,0,0,6,6,6,11.5,0,12.7,3.7,-1.7,Graduate
4078,2,39,1,9991,0,1,170.0,1,38,19,4,8,134.7,0,0,0,1,0,0,33,0,0,5,5,5,12.8,0,0,5,6,5,15.33333333,0,10.8,1.4,1.74,Graduate
4184,1,1,1,9238,1,1,136.0,1,38,38,0,7,133.2,1,0,0,1,0,0,19,0,0,6,8,5,11.0,0,0,6,13,5,11.4,0,7.6,2.6,0.32,Graduate
4225,1,44,1,9238,1,39,140.0,1,38,19,5,0,141.8,0,0,0,1,0,0,21,0,3,6,7,6,12.57142857,0,2,6,6,6,13.5,0,12.4,0.5,1.79,Graduate
2473,1,39,1,9003,1,1,133.1,1,1,1,1,6,120.0,0,0,0,0,1,0,24,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
4146,2,39,1,9500,1,19,133.1,1,37,38,9,10,120.9,1,0,0,1,0,0,39,0,0,7,12,4,12.0,0,0,7,13,4,12.5625,0,11.1,0.6,2.02,Dropout
2470,1,44,1,9130,1,39,150.0,1,5,1,2,5,150.0,1,0,0,1,1,0,19,0,1,6,13,5,11.6,0,1,6,12,2,11.0,0,13.9,-0.3,0.79,Enrolled
1444,1,43,1,9991,0,1,140.0,1,1,1,6,6,100.0,0,0,0,1,1,0,34,0,0,5,5,5,13.8,0,0,5,6,5,13.83333333,0,9.4,-0.8,-3.12,Graduate
4147,4,39,1,9085,1,1,140.0,1,37,37,9,9,154.6,0,0,0,0,0,1,44,0,0,6,12,4,12.75,0,0,6,15,2,10.0,0,8.9,1.4,3.51,Enrolled
2577,1,1,4,9254,1,1,110.0,1,37,37,9,7,113.2,1,0,0,1,0,0,24,0,0,6,14,2,10.5,0,0,6,11,1,10.0,0,10.8,1.4,1.74,Dropout
2135,1,39,1,9254,1,1,133.1,1,19,1,4,1,101.0,0,0,1,1,0,0,25,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout
3442,1,17,4,9254,1,1,106.0,1,37,19,9,7,116.9,1,0,0,1,0,0,20,0,0,6,7,6,11.5,0,0,6,8,5,12.4,0,11.1,0.6,2.02,Graduate
4397,1,5,4,9853,1,1,116.0,1,3,38,3,8,110.4,1,0,0,1,0,0,21,0,0,6,9,5,12.6,0,0,6,9,3,11.66666667,0,9.4,-0.8,-3.12,Enrolled
1784,1,7,2,9500,1,3,140.0,1,37,38,9,9,138.0,0,0,0,1,1,0,28,0,0,7,7,7,14.11428571,0,0,8,9,8,15.91111111,0,16.2,0.3,-0.92,Dropout
2820,1,18,6,9500,1,1,144.0,1,1,1,3,6,130.8,1,0,0,1,0,0,18,0,0,8,11,7,12.77142857,0,0,8,11,7,12.77142857,0,12.7,3.7,-1.7,Graduate
1281,1,1,3,9500,1,1,133.1,1,38,19,7,9,115.5,1,0,0,1,1,1,20,0,0,8,8,7,13.02428571,0,0,8,8,7,13.02428571,0,10.8,1.4,1.74,Graduate
61,1,44,1,9238,1,39,130.0,1,19,1,9,9,131.9,0,0,0,1,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
1231,1,1,1,9238,1,1,122.0,1,1,19,4,4,127.3,1,0,1,1,0,0,20,0,0,6,6,6,12.16666667,0,0,6,7,6,11.66666667,0,9.4,-0.8,-3.12,Graduate
4093,1,1,1,9773,1,1,126.0,1,37,38,7,7,119.0,0,0,0,1,0,1,18,0,0,6,6,6,12.16666667,0,0,6,7,6,12.14285714,0,15.5,2.8,-4.06,Graduate
877,1,39,2,9556,1,1,130.0,1,19,19,4,5,100.0,0,0,0,1,1,1,25,0,0,7,7,2,10.0,0,0,7,7,0,0.0,0,15.5,2.8,-4.06,Dropout
1598,1,17,1,9238,1,1,136.0,1,37,37,7,7,140.9,1,0,0,1,1,0,18,0,0,6,10,4,12.0,0,0,6,7,5,11.8,0,9.4,-0.8,-3.12,Dropout
2005,1,1,1,9085,1,1,133.0,1,1,37,4,10,143.2,0,0,0,1,0,0,19,0,0,5,7,5,14.4,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate
1456,1,1,1,9147,1,1,123.0,1,1,19,4,5,117.8,0,0,0,1,1,0,20,0,0,5,9,5,12.0,0,0,5,9,4,13.0,0,8.9,1.4,3.51,Enrolled
318,1,1,1,9238,1,1,120.0,1,19,38,5,9,130.2,0,0,0,1,0,1,18,0,0,6,8,6,11.28571429,0,0,6,10,6,11.85714286,0,12.4,0.5,1.79,Graduate
964,1,1,1,9773,1,1,121.0,1,1,3,3,7,113.0,1,0,0,1,1,1,18,0,0,6,7,6,11.66666667,0,0,6,12,5,10.2,0,12.4,0.5,1.79,Graduate
1840,1,10,1,9773,1,1,151.0,22,38,37,0,5,151.0,1,0,0,1,0,0,18,1,0,6,12,0,0.0,1,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
2330,1,43,5,8014,0,1,110.0,1,34,34,0,0,110.0,0,0,0,1,1,0,37,0,0,6,12,0,0.0,0,0,5,10,0,0.0,0,7.6,2.6,0.32,Dropout
4361,1,17,1,9500,1,1,145.0,1,3,3,2,3,141.8,0,0,0,1,0,0,19,0,0,8,8,8,13.3475,0,0,8,8,8,13.3475,0,9.4,-0.8,-3.12,Graduate
3258,1,44,1,9147,1,39,130.0,1,19,1,9,3,130.0,0,0,0,1,0,1,20,0,4,7,8,7,13.0,0,2,5,5,5,13.4,0,11.1,0.6,2.02,Graduate
1904,1,1,1,9773,1,1,121.0,1,19,1,7,9,117.9,1,0,0,1,0,0,19,0,0,6,7,6,12.83333333,0,0,6,7,6,11.66666667,0,11.1,0.6,2.02,Graduate
1729,2,43,1,9991,0,1,110.0,1,37,37,9,9,132.5,0,0,0,1,1,0,37,0,7,12,13,12,12.25,0,8,13,13,13,12.84615385,0,9.4,-0.8,-3.12,Graduate
2045,1,1,2,9500,1,1,133.0,1,19,1,9,1,122.2,0,0,0,1,0,0,20,0,0,7,9,6,12.78333333,0,0,8,9,7,12.84285714,0,13.9,-0.3,0.79,Graduate
2442,2,43,1,9670,1,1,120.0,1,34,34,0,0,128.2,0,0,0,1,1,0,35,0,0,5,5,0,0.0,0,0,5,5,1,10.0,0,9.4,-0.8,-3.12,Dropout
1563,1,44,1,9130,1,39,140.0,1,19,19,5,5,140.0,1,0,1,0,0,0,20,0,1,6,11,3,12.0,0,0,6,11,2,11.0,0,12.4,0.5,1.79,Enrolled
3282,2,53,1,9147,1,42,130.0,1,19,19,175,152,132.4,0,0,0,1,0,0,30,0,6,11,20,9,12.22222222,0,3,9,16,9,11.6,0,8.9,1.4,3.51,Enrolled
3944,5,39,1,9003,1,1,180.0,1,1,1,4,8,179.6,0,0,1,0,0,0,27,0,0,6,6,0,0.0,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Dropout
4020,1,1,1,9670,1,1,133.1,1,3,1,1,7,155.0,0,0,0,1,0,0,22,0,0,5,6,3,11.33333333,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
1393,1,17,1,9238,1,1,132.0,1,1,19,4,9,127.1,1,0,0,1,0,0,19,0,0,6,7,6,12.85714286,0,0,6,7,6,13.66666667,0,13.9,-0.3,0.79,Graduate
1513,1,10,1,9254,1,1,115.0,24,3,1,9,9,116.1,1,0,0,1,0,0,19,1,0,6,6,6,13.5,0,0,6,6,6,14.33333333,0,12.4,0.5,1.79,Graduate
3992,1,17,1,9238,1,1,137.0,1,38,19,152,171,131.1,1,0,0,1,0,1,18,0,0,6,8,6,12.83333333,0,0,6,6,6,12.16666667,0,8.9,1.4,3.51,Graduate
3150,1,1,1,9130,1,1,117.0,1,1,1,9,9,109.3,1,0,0,1,0,0,20,0,0,5,10,4,12.5,0,0,5,12,2,13.0,0,12.7,3.7,-1.7,Enrolled
